 0.08452341029629312 0.0  -0.15776810413957157 0.15776810413957157 
 0.0845120958158999 0.0013829493554233774  -0.15776810413957157 0.15776810413957157 
 0.0844781554038802 0.0027655284618633806  -0.15776810413957157 0.15776810413957149 
 0.08442159814690306 0.004147367169461241  -0.15776810413957157 0.15776810413957157 
 0.08434243918671375 0.005528095526580863  -0.15776810413957157 0.15776810413957146 
 0.08424069971608006 0.006907343878853826  -0.15776810413957157 0.15776810413957149 
 0.08411640697311842 0.00828474296814479  -0.15776810413957157 0.15776810413957157 
 0.08396959423400163 0.009659924031410834  -0.15776810413957157 0.15776810413957157 
 0.08380030080405003 0.011032518899428242  -0.15776810413957157 0.15776810413957157 
 0.08360857200720846 0.012402160095360298  -0.15776810413957157 0.15776810413957157 
 0.08339445917391201 0.013768480933139723  -0.15776810413957157 0.15776810413957157 
 0.0831580196273436 0.01513111561563941  -0.15776810413957154 0.15776810413957165 
 0.08289931666808714 0.016489699332605152  -0.15776810413957157 0.15776810413957157 
 0.08261841955718051 0.017843868358324178  -0.15776810413957157 0.15776810413957157 
 0.08231540349757263 0.019193260149003303  -0.15776810413957157 0.15776810413957157 
 0.08199034961398984 0.020537513439830686  -0.15776810413957157 0.15776810413957146 
 0.08164334493121687 0.021876268341695156  -0.15776810413957157 0.15776810413957157 
 0.08127448235079819 0.023209166437537208  -0.15776810413957157 0.15776810413957157 
 0.08088386062616598 0.024535850878305947  -0.15776810413957157 0.15776810413957157 
 0.08047158433620151 0.025855966478496188  -0.15776810413957157 0.15776810413957146 
 0.0800377638572368 0.027169159811240205  -0.15776810413957157 0.15776810413957157 
 0.07958251533350422 0.02847507930292865  -0.15776810413957157 0.15776810413957146 
 0.0791059606460419 0.029773375327335334  -0.15776810413957157 0.15776810413957157 
 0.07860822738006316 0.031063700299220575  -0.15776810413957157 0.15776810413957157 
 0.07808944879079897 0.032345708767388216  -0.15776810413957157 0.15776810413957157 
 0.07754976376782216 0.03361905750717124  -0.15776810413957157 0.15776810413957157 
 0.07698931679786344 0.034883405612321325  -0.15776810413957157 0.15776810413957157 
 0.07640825792612879 0.036138414586277666  -0.15776810413957157 0.15776810413957157 
 0.07580674271612867 0.03738374843279072  -0.15776810413957157 0.15776810413957157 
 0.07518493220802996 0.038619073745876524  -0.15776810413957157 0.15776810413957157 
 0.0745429928755416 0.03984405979907751  -0.15776810413957157 0.15776810413957157 
 0.07388109658134556 0.041058378634005986  -0.15776810413957154 0.15776810413957162 
 0.07319942053108504 0.042261705148146554  -0.15776810413957157 0.15776810413957157 
 0.07249814722592218 0.0434537171818939  -0.15776810413957157 0.15776810413957157 
 0.07177746441367822 0.044634095604802686  -0.15776810413957154 0.15776810413957162 
 0.07103756503856871 0.04580252440102652  -0.15776810413957154 0.15776810413957162 
 0.07027864718954781 0.04695869075392301  -0.15776810413957157 0.15776810413957157 
 0.06950091404727496 0.048102285129802386  -0.15776810413957157 0.15776810413957157 
 0.06870457382971866 0.04923300136079709  -0.15776810413957154 0.15776810413957162 
 0.06788983973641133 0.05035053672683038  -0.15776810413957154 0.15776810413957165 
 0.06705692989137073 0.05145459203666181  -0.1577681041395716 0.1577681041395715 
 0.06620606728470288 0.05254487170798788  -0.15776810413957157 0.15776810413957157 
 0.06533747971290217 0.053621083846576684  -0.15776810413957154 0.15776810413957162 
 0.06445139971786482 0.05468294032441494  -0.15776810413957157 0.15776810413957157 
 0.06354806452463163 0.055730156856846944  -0.15776810413957154 0.15776810413957162 
 0.06262771597787734 0.05676245307868432  -0.15776810413957157 0.15776810413957157 
 0.061690600477162676 0.05777955261926667  -0.15776810413957157 0.15776810413957157 
 0.06073696891096751 0.058781183176452624  -0.15776810413957154 0.15776810413957162 
 0.05976707658952173 0.05976707658952171  -0.1577681041395716 0.1577681041395715 
 0.05878118317645263 0.06073696891096749  -0.15776810413957154 0.15776810413957162 
 0.057779552619266684 0.06169060047716267  -0.15776810413957157 0.15776810413957157 
 0.05676245307868433 0.06262771597787732  -0.15776810413957157 0.1577681041395715 
 0.05573015685684695 0.06354806452463163  -0.15776810413957154 0.15776810413957162 
 0.05468294032441496 0.0644513997178648  -0.15776810413957157 0.15776810413957157 
 0.05362108384657669 0.06533747971290217  -0.15776810413957157 0.1577681041395715 
 0.052544871707987884 0.06620606728470288  -0.1577681041395716 0.1577681041395715 
 0.05145459203666183 0.06705692989137071  -0.15776810413957154 0.15776810413957162 
 0.0503505367268304 0.06788983973641131  -0.15776810413957157 0.15776810413957157 
 0.0492330013607971 0.06870457382971865  -0.15776810413957157 0.15776810413957157 
 0.048102285129802386 0.06950091404727496  -0.15776810413957157 0.1577681041395715 
 0.04695869075392303 0.0702786471895478  -0.15776810413957157 0.15776810413957157 
 0.04580252440102652 0.07103756503856871  -0.15776810413957154 0.15776810413957162 
 0.0446340956048027 0.07177746441367822  -0.15776810413957154 0.15776810413957162 
 0.0434537171818939 0.07249814722592218  -0.15776810413957157 0.1577681041395715 
 0.04226170514814657 0.07319942053108502  -0.15776810413957157 0.1577681041395715 
 0.041058378634006 0.07388109658134555  -0.15776810413957157 0.15776810413957157 
 0.03984405979907752 0.07454299287554159  -0.15776810413957157 0.1577681041395715 
